format	fm-lint-telemetry-v1
git_head	ec11a2c04a488e98c7c8c46957eaaa88c063942a
content_cksum	3750214232-5248
shellcheck_version	0.11.0
analysis_mode	full
partition	2of4
jobs	1
root_count	108
direct_lines	74185
direct_bytes	3691670
source_directives	206
source_boundary_directives	31
source_followed_directives	175
source_target_count	55
shard_1_weight_bytes	1846225
shard_2_weight_bytes	1845445
wall_seconds	268
worker_wall_sum_seconds	267.43
max_worker_wall_seconds	176.78
user_seconds	235.58
system_seconds	22.63
max_worker_rss_kib	3928976
worker_rss_sum_kib	7108944
shellcheck_processes_start	0
shellcheck_processes_end	0
load_average_start	6.27/5.99/5.95
load_average_end	8.73/7.12/6.41
aggregate_cpu_percent_start	311.10
aggregate_cpu_percent_end	452.40
result_exit	0
